target	name	latin_name	is_tree	is_grass	is_creeper	is_swamp_plant	has_flowers	has_single_flowers	has_florets	flowers_blue	flowers_red	flowers_yellow	flowers_white	other_colour	stem_smooth	stem_rough	is_creeping	is_short	is_medium_tall	is_tall	smells_good	smells_bad	smells_mildly	leaves_whole	leaves_lobed	leaves_divided	leaves_dissected	leaves_margins_entire	leaves_margins_serrate	leaves_margins_undulate	leaves_margins_lobed	venation_parallel	venation_palmated	venation_pinnately_net	stem_opposite	stem_alternate	stem_whorled	no_stem_arrangement	is_invasive	is_eu_invasive	image_link	description
1	Common milkweed	Asclepias syriaca	0	1	0	0	1	0	1	0	1	0	0	0	1	0	0	0	0	1	0	0	1	1	0	0	0	1	0	0	0	0	0	1	1	0	0	0	1	1	n/a	n/a
2	Giant hogweed	Heracleum mantegazzianum 	0	1	0	0	1	0	1	0	0	0	1	0	1	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	1	0	1	0	0	1	0	0	1	1	n/a	n/a
3	Floating pennywort	Hydrocotyle ranunculoides 	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	1	1	1	n/a	n/a
4	Himalayan balsam	Impatiens glandulifera	0	1	0	0	1	0	1	0	1	0	0	0	1	0	0	0	0	1	0	1	0	1	0	0	0	0	1	0	0	0	0	1	0	0	1	0	1	1	n/a	n/a
5	Water-primrose	Ludwigia grandiflora 	0	0	0	1	1	1	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	1	0	0	1	1	n/a	n/a
6	English oak	Quercus robur	1	0	0	0	1	0	1	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	n/a	n/a
7	Sycamore maple	Acer pseudoplatanus	1	0	0	0	1	0	1	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	n/a	n/a
8	European mountain ash	Sorbus aucuparia	1	0	0	0	1	0	1	0	0	0	1	0	0	1	0	0	0	1	0	1	0	0	0	0	1	0	1	0	0	0	0	1	0	1	0	0	0	0	n/a	n/a
9	Ryegrass	Lolium	1	0	0	0	1	0	1	0	0	0	0	1	1	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	n/a	n/a
10	Common daisy	Bellis perennis	1	0	0	0	1	1	0	0	0	0	1	0	1	0	0	0	1	0	0	0	1	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	n/a	n/a
